year,iso_code,country,co2,population,share_co2,share_tmp_ghg,tmp_change_co2,tmp_change_ghg,gdp,kyoto_ratification_year,kyoto_us_ratification_year,paris_ratification_year,kyoto_dummy,kyoto_us_dummy,paris_dummy,time,ln_co2,ln_population,ln_share_co2,ln_share_tmp_ghg,ln_tmp_change_co2,ln_tmp_change_ghg,ln_gdp,zln_co2,zln_population,zln_share_co2,zln_share_tmp_ghg,zln_tmp_change_co2,zln_gdp,Kyoto_and_Paris,None,time_kyoto,time_paris,time_kyoto_us,continent,UN_region,hdicode,development_status,developing,developed,developed_kyoto,developed_paris,developing_kyoto,developing_paris,income,high_income,low_income,high_kyoto,high_paris,low_kyoto,low_paris,hdi_very_high,hdi_high,hdi_medium,hdi_low,h_income,um_income,lm_income,l_income,kyoto_high,paris_high,kyoto_low,paris_low,kyoto_um,paris_um,kyoto_lm,paris_lm,vh_hdi,h_hdi,m_hdi,l_hdi,kyoto_vh,paris_vh,kyoto_h,paris_h,kyoto_m,paris_m,kyoto_l,paris_l,composite_hdi,vh_h,ln_co2_lag1
1991,AFG,Afghanistan,1.914,12238879,0.008,0.092,0.0,0.001,12047362048.0,2013,2013,2017,0,0,0,2,0.649247538,16.32012825,-4.815891217,-2.384880336,-9.210340372,-6.812445099,23.21211156,-0.578969591,0.44362171,-0.4905713,-0.073590298,-0.999172229,-0.796811215,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.705125157
1992,AFG,Afghanistan,1.482,13278982,0.007,0.09,0.0,0.001,12677539840.0,2013,2013,2017,0,0,0,3,0.393460001,16.40169304,-4.947660495,-2.406835114,-9.210340372,-6.812445099,23.26309775,-0.678011691,0.479769258,-0.541105734,-0.084167349,-0.999172229,-0.781882912,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.649247538
1993,AFG,Afghanistan,1.487,14943174,0.007,0.089,0.0,0.001,9834582016.0,2013,2013,2017,0,0,0,4,0.396827915,16.51976516,-4.947660495,-2.417995945,-9.210340372,-6.812445099,23.00917079,-0.676707619,0.53209597,-0.541105734,-0.089544251,-0.999172229,-0.856230465,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.393460001
1994,AFG,Afghanistan,1.454,16250799,0.006,0.087,0.0,0.001,7919856640.0,2013,2013,2017,0,0,0,5,0.374387153,16.60365263,-5.099466508,-2.440698395,-9.210340372,-6.812445099,22.79263894,-0.685396785,0.569272871,-0.599324396,-0.100481504,-0.999172229,-0.919629062,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.396827915
1995,AFG,Afghanistan,1.417,17065836,0.006,0.085,0.0,0.001,12307525632.0,2013,2013,2017,0,0,0,6,0.34861253,16.65258913,-5.099466508,-2.463928243,-9.210340372,-6.812445099,23.23347675,-0.695376836,0.590960343,-0.599324396,-0.11167284,-0.999172229,-0.790555676,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.374387153
1996,AFG,Afghanistan,1.37,17763265,0.006,0.084,0.0,0.001,12070125568.0,2013,2013,2017,0,0,0,7,0.31488373,16.69264312,-5.099466508,-2.475748712,-9.210340372,-6.812445099,23.21399928,-0.708436781,0.608711304,-0.599324396,-0.117367532,-0.999172229,-0.796258508,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.34861253
1997,AFG,Afghanistan,1.304,18452100,0.005,0.083,0.0,0.001,11850753024.0,2013,2013,2017,0,0,0,8,0.265513148,16.73068874,-5.278514739,-2.487710577,-9.210340372,-6.812445099,23.19565725,-0.727553295,0.625572206,-0.667990638,-0.123130344,-0.999172229,-0.80162889,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.31488373
1998,AFG,Afghanistan,1.279,19159996,0.005,0.082,0.0,0.001,11692171264.0,2013,2013,2017,0,0,0,9,0.246156706,16.76833512,-5.278514739,-2.499817263,-9.210340372,-6.812445099,23.18218533,-0.735048198,0.642256171,-0.667990638,-0.128962925,-0.999172229,-0.805573347,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.265513148
1999,AFG,Afghanistan,1.092,19887791,0.004,0.082,0.0,0.001,11517316096.0,2013,2013,2017,0,0,0,10,0.088102448,16.80561658,-5.496768305,-2.499817263,-9.210340372,-6.812445099,23.16711749,-0.796247527,0.658778415,-0.751692398,-0.128962925,-0.999172229,-0.809985078,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.246156706
2000,AFG,Afghanistan,1.047,20130334,0.004,0.081,0.0,0.001,94805593870.0,2013,2013,2017,0,0,0,11,0.046024438,16.81773839,-5.496768305,-2.512072318,-9.210340372,-6.812445099,25.27509425,-0.812540324,0.664150506,-0.751692398,-0.134866986,-0.999172229,-0.192788248,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.088102448
2001,AFG,Afghanistan,1.069,20284303,0.004,0.079,0.0,0.001,77758583138.0,2013,2013,2017,0,0,0,12,0.066817173,16.82535789,-5.496768305,-2.537042404,-9.210340372,-6.812445099,25.07687478,-0.804489282,0.667527287,-0.751692398,-0.146896708,-0.999172229,-0.250825145,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.046024438
